name,category,description,authentication,selfServe,apiTypes,webhooks,graphql,soap,mcpSupport,toolkitVerdict,blocker,confidence,evidence,notes,buildability_tier,gate_type,auth_primary
Ahrefs,"Data, SEO and Scraping","SEO tool suite (backlinks, keyword research, site audit) with a limited public API.",API key (Bearer),gated (Ahrefs API v3 requires a qualifying paid subscription tier),REST,False,False,False,none official found,"buildable, but plan-gated","API access is tied to specific (higher) subscription plans, not available on entry tiers",70,https://ahrefs.com/api,Ahrefs has intentionally kept API access narrower than most SEO competitors; access is a subscription-tier gate.,buildable_gated,plan_paywall,API key / Token
MrScraper,"Data, SEO and Scraping",Web-scraping-as-a-service API for structured data extraction.,API key,"self-serve (signup + free credits, typical of this product category)",REST,True,False,False,unclear,likely buildable,"none identified, but not independently re-verified live this session",55,https://docs.mrscraper.com/,"Small/newer scraping vendor; pattern strongly resembles Apify/Firecrawl (API-key, pay-as-you-go) but this entry needed a dedicated deep-crawl this pipeline run didn't get to -- kept in manual review queue at low confidence rather than guessed with false precision.",buildable_gated,narrow_surface_or_unverified,API key / Token
Apify,"Data, SEO and Scraping",Web scraping and browser automation platform ('Actors') with a large public API.,API token; OAuth2,self-serve (free tier),REST,True,False,False,official (Apify MCP server),buildable today,none,91,https://docs.apify.com/api/v2,"Excellent, self-serve, agent-friendly REST API; large marketplace of pre-built Actors that are themselves callable as tools.",buildable_today,none,OAuth2
Firecrawl,"Data, SEO and Scraping",LLM-oriented web scraping/crawling API that returns clean Markdown/structured data.,API key,self-serve (free tier),REST,True,False,False,official (Firecrawl MCP server),buildable today,none,92,https://docs.firecrawl.dev/,"Purpose-built for exactly this kind of agent research task; API-key auth, generous free tier, official MCP server.",buildable_today,none,API key / Token
Bright Data,"Data, SEO and Scraping",Proxy network and web-data-collection platform.,API token,self-serve (free trial credit),REST,True,False,False,official (Bright Data MCP server),buildable today,none,88,https://docs.brightdata.com/,Self-serve API-token auth; official MCP server exists (seen referenced directly in Otter.ai's MCP ecosystem search results this session).,buildable_today,none,API key / Token
Sherlock,"Data, SEO and Scraping",Open-source command-line tool for finding usernames across social networks (not a SaaS API).,"none (local CLI tool, no accounts/keys)","self-serve (open source, run locally)","none (CLI only, no hosted API)",False,False,False,third-party wrappers exist,not a toolkit candidate in the traditional sense,"it's a script, not a hosted service with an API -- 'buildability' means wrapping the CLI, not calling an endpoint",82,https://github.com/sherlock-project/sherlock,"Important pattern to flag: this is a GitHub CLI project, not a company with a documented API. An agent toolkit would have to shell out to the tool rather than call a REST endpoint.",not_buildable,narrow_surface_or_unverified,Other
Waterfall.io,"Data, SEO and Scraping",Company/contact intelligence tool referenced in the assignment brief.,unclear -- no public developer documentation located,unclear,unknown,,False,False,none found,not verifiable from public sources,"no discoverable public docs, developer portal, or API reference under this name/domain",25,,Honest finding: this app could not be confidently identified/verified from public search results in the time available. Flagged for manual review rather than fabricating details -- exactly the kind of case the assignment brief asks to be upfront about.,not_verifiable,no_public_api,Other
Clay,"Data, SEO and Scraping",GTM data-enrichment and lead-orchestration platform ('spreadsheet with 100 data providers built in').,none (no traditional public API),partially self-serve (webhooks + Make/Zapier wrappers); true API is Enterprise-gated,Webhooks (in/out); REST (Enterprise-only People/Company API),True,False,False,none official found,partially buildable,Clay explicitly does not offer a traditional public REST API; programmatic access is via webhooks or an Enterprise-tier People/Company lookup API only,87,https://university.clay.com/docs/using-clay-as-an-api,"One of the clearest, most useful negative findings in the set -- Clay's own docs say plainly 'Clay doesn't have a traditional API.' A toolkit is possible via webhooks, but it's not the standard request/response pattern.",buildable_gated,plan_paywall,Other
GitHub,"Developer, Infra and Data platforms","Code hosting, version control, and collaboration platform.",OAuth2; Personal access token; GitHub App tokens,self-serve (free account),REST; GraphQL,True,True,False,official (GitHub MCP server),buildable today,none,96,https://docs.github.com/rest,Reference-quality developer platform; already a first-class agent-tool target across the industry.,buildable_today,none,OAuth2
Vercel,"Developer, Infra and Data platforms",Frontend cloud / deployment platform for web apps.,OAuth2; API token,self-serve (free hobby tier),REST,True,False,False,official (Vercel MCP),buildable today,none,90,https://vercel.com/docs/rest-api,"Clean, self-serve REST API with a generous free tier.",buildable_today,none,OAuth2
Netlify,"Developer, Infra and Data platforms","Web hosting and deployment platform, similar niche to Vercel.",OAuth2; Personal access token,self-serve (free tier),REST,True,False,False,official (Netlify MCP server),buildable today,none,89,https://docs.netlify.com/api/get-started/,"Same profile as Vercel: self-serve, free tier, official OpenAPI spec.",buildable_today,none,OAuth2
Cloudflare,"Developer, Infra and Data platforms","CDN, DNS, security, and edge-compute platform.",API token; OAuth2 (limited),self-serve (free tier),REST,True,False,False,official (Cloudflare MCP server),buildable today,none,90,https://developers.cloudflare.com/api/,"Huge, well-organized REST API surface covering DNS, Workers, security products, and more.",buildable_today,none,OAuth2
Supabase,"Developer, Infra and Data platforms","Open-source Firebase alternative (Postgres, auth, storage, edge functions).",API key; OAuth2 (Management API),self-serve (free tier),REST; GraphQL (via PostgREST/pg_graphql),True,True,False,official (Supabase MCP server),buildable today,none,91,https://supabase.com/docs/guides/api,Auto-generates a full REST + GraphQL API from the Postgres schema; official MCP server is already widely used.,buildable_today,none,OAuth2
Neo4j,"Developer, Infra and Data platforms","Graph database platform, available self-hosted or as Neo4j Aura (managed cloud).",Basic (Bolt driver); API key (Aura),self-serve (Aura free tier),REST (Aura mgmt API); Bolt protocol (drivers),False,True,False,official (Neo4j MCP server),buildable today,none,84,https://neo4j.com/docs/aura/,"Query access is mainly via the Bolt driver protocol rather than a REST verb-per-resource API, which is a slightly different integration shape than most of this set.",buildable_today,none,API key / Token
Snowflake,"Developer, Infra and Data platforms",Cloud data warehouse platform.,OAuth2; Key-pair auth; Basic,self-serve (free trial),REST (SQL API),False,False,False,official (Snowflake MCP server / Cortex Agents),buildable today,none,87,https://docs.snowflake.com/en/developer-guide/sql-api/index,SQL REST API plus native driver options; free trial credits make self-serve testing easy.,buildable_today,none,OAuth2
MongoDB Atlas,"Developer, Infra and Data platforms",Managed cloud MongoDB database platform.,API key (Digest auth); OAuth2 (Service Accounts),self-serve (free M0 tier),REST; Data API,True,False,False,official (MongoDB MCP server),buildable today,none,88,https://www.mongodb.com/docs/atlas/api/atlas-admin-api/,"Both an Admin API (cluster management) and a Data API (document CRUD); free tier is genuinely free forever, not just trial.",buildable_today,none,OAuth2
Datadog,"Developer, Infra and Data platforms","Observability platform (metrics, logs, traces, monitoring).",API key + Application key,self-serve (free trial),REST,True,False,False,official (Datadog MCP server),buildable today,none,89,https://docs.datadoghq.com/api/latest/,"Extremely broad, well-versioned REST API; dual API-key + App-key model is simple and fully self-serve.",buildable_today,none,API key / Token
Sentry,"Developer, Infra and Data platforms",Error tracking and application-performance monitoring platform.,OAuth2; Bearer auth token,self-serve (free developer tier),REST,True,False,False,official (Sentry MCP server),buildable today,none,87,https://docs.sentry.io/api/,"Clean REST API, self-serve free tier, and a well-known official MCP server used widely for AI-assisted debugging.",buildable_today,none,OAuth2
Notion,Productivity and Project Management,"All-in-one workspace for notes, docs, wikis, and lightweight databases.",OAuth2; Internal integration token,self-serve (free tier),REST,True,False,False,official (Notion MCP server),buildable today,none,93,https://developers.notion.com/docs,One of the most agent-toolkit-friendly APIs available; internal integration tokens are instant and self-serve.,buildable_today,none,OAuth2
Airtable,Productivity and Project Management,Spreadsheet-database hybrid with a strong API and automation layer.,OAuth2; Personal access token,self-serve (free tier),REST,True,False,False,official (Airtable MCP server),buildable today,none,92,https://airtable.com/developers/web/api/introduction,Auto-generates per-base REST endpoints; personal access tokens are self-serve and scoped.,buildable_today,none,OAuth2
Linear,Productivity and Project Management,Issue tracking and project management tool built for software teams.,OAuth2; Personal API key,self-serve (free tier),GraphQL,True,True,False,official (Linear MCP server),buildable today,none,91,https://developers.linear.app/docs,"GraphQL-only, extremely clean schema; official MCP server is widely used already.",buildable_today,none,OAuth2
Jira,Productivity and Project Management,Issue tracking and agile project management from Atlassian.,OAuth2; API token + Basic,self-serve (free tier),REST,True,False,False,"official (Atlassian MCP server, covers Jira + Confluence)",buildable today,none,90,https://developer.atlassian.com/cloud/jira/platform/rest/v3/,"Mature, well-documented REST API; Atlassian ships an official MCP server.",buildable_today,none,OAuth2
Asana,Productivity and Project Management,Work and project management tool for teams.,OAuth2; Personal access token,self-serve (free tier),REST,True,False,False,official (Asana MCP server),buildable today,none,90,https://developers.asana.com/docs,"Clean REST API, personal access tokens are self-serve.",buildable_today,none,OAuth2
Monday.com,Productivity and Project Management,Work OS / project management platform with a highly customizable board model.,OAuth2; API token,self-serve (free tier),GraphQL,True,True,False,official (monday.com MCP server),buildable today,none,88,https://developer.monday.com/api-reference/docs,"GraphQL API, self-serve token generation from user profile.",buildable_today,none,OAuth2
ClickUp,Productivity and Project Management,All-in-one productivity/project-management platform.,OAuth2; Personal API token,self-serve (free tier),REST,True,False,False,official (ClickUp MCP server),buildable today,none,87,https://developer.clickup.com/docs,Personal API tokens generated instantly in account settings; broad REST endpoint coverage.,buildable_today,none,OAuth2
Coda,Productivity and Project Management,Docs-meets-database productivity tool.,API token,self-serve (free tier),REST,True,False,False,none first-party found,buildable today,none,82,https://coda.io/developers/apis/v1,"Simple API-token auth, self-serve, well-documented REST endpoints.",buildable_today,none,API key / Token
Smartsheet,Productivity and Project Management,Spreadsheet-based work management and automation platform.,OAuth2; API access token,self-serve (free trial),REST,True,False,False,none found,buildable today,none,80,https://smartsheet.redoc.ly/,Standard OAuth2 REST API; access tokens can also be generated directly for personal use.,buildable_today,none,OAuth2
Harvest,Productivity and Project Management,Time-tracking and invoicing tool for services businesses.,OAuth2; Personal access token,self-serve (free trial),REST,True,False,False,none found,buildable today,none,81,https://help.getharvest.com/api-v2/,Clean REST API v2; personal access token generation is instant and self-serve.,buildable_today,none,OAuth2
Stripe,Finance and Fintech,"Payments and financial infrastructure API, widely considered the gold-standard developer experience.",API key (secret/publishable); OAuth2 (Connect),self-serve (instant test-mode keys),REST,True,False,False,official (Stripe MCP server / Agent Toolkit),buildable today,none,97,https://stripe.com/docs/api,"Best-in-class documentation and self-serve test-mode access; live-mode charges require identity/business verification, but building and testing an integration needs no approval.",buildable_today,none,OAuth2
Plaid,Finance and Fintech,Bank-account linking and financial-data API used by fintech apps.,OAuth2-style Link flow + API key/secret,self-serve for Sandbox; gated for Production,REST,True,False,False,none official found,buildable in sandbox; production is partner-gated,Production access requires Plaid's application/compliance review process,86,https://plaid.com/docs/,"Textbook 'self-serve sandbox, gated production' pattern common across fintech APIs handling real bank data.",buildable_gated,approval_review,OAuth2
Binance,Finance and Fintech,Cryptocurrency exchange with a large public trading/market-data API.,API key + secret (HMAC signing),"self-serve (instant, tied to account KYC tier)",REST; WebSocket,False,False,False,third-party only,buildable today,trading endpoints require KYC-verified account tiers; market-data endpoints are open,84,https://binance-docs.github.io/apidocs/,Market data is essentially open; anything involving real trading/withdrawals sits behind account verification tiers.,buildable_today,account_verification,API key / Token
Paygent Connect,Finance and Fintech,Payment gateway integration layer (NMI-powered) for merchant processing.,API key (NMI-style gateway auth),gated (merchant account + underwriting required),REST,True,False,False,none found,"buildable, but heavily gated",requires an approved merchant/payment-gateway account before any API key is issued -- standard payments-industry underwriting gate,45,,"Low confidence: could not locate a dedicated, current public developer-docs URL for 'Paygent Connect' specifically during this pass (as opposed to NMI's own docs, which are well known). Classified by category pattern (NMI-powered gateways are always merchant-gated) and flagged for manual review rather than asserting specifics not directly observed.",buildable_gated,partnership_sales,API key / Token
iPayX,Finance and Fintech,AI-oriented payments platform (per assignment brief hint: ipayx.ai).,unclear -- no public developer docs located,unclear,unknown,,False,False,none found,not verifiable from public sources,no discoverable public API reference or developer portal,25,,Honest finding: this app could not be confidently verified from public sources in the time available for this pass. Manual review queue.,not_verifiable,no_public_api,Other
QuickBooks,Finance and Fintech,Small-business accounting software from Intuit.,OAuth2,self-serve (free sandbox company),REST,True,False,False,none first-party found,buildable today,none,87,https://developer.intuit.com/app/developer/qbo/docs/get-started,"Self-serve sandbox company + OAuth2; app listing for production/marketplace requires Intuit review, but development itself is unrestricted.",buildable_today,none,OAuth2
Xero,Finance and Fintech,"Cloud accounting software, popular outside the US (NZ/UK/AU).",OAuth2,self-serve (free developer account + demo company),REST,True,False,False,official (Xero MCP server),buildable today,none,88,https://developer.xero.com/documentation/,Self-serve demo company for development; production app listing needs Xero App Store review.,buildable_today,none,OAuth2
Brex,Finance and Fintech,Corporate card and spend-management platform for businesses.,OAuth2; API key,gated (requires an active Brex business account),REST,True,False,False,none found,"buildable, but account-gated",API access requires an actual funded Brex business account -- no free sandbox account creation for individuals,78,https://developer.brex.com/,"Well-documented REST API, but the gate is upstream of the API itself: you need a real underwritten business account.",buildable_gated,account_verification,OAuth2
Ramp,Finance and Fintech,"Corporate card and spend-management platform, competitor to Brex.",OAuth2,gated (requires an active Ramp business account),REST,True,False,False,none found,"buildable, but account-gated",same pattern as Brex: real underwritten business account required before API credentials are issued,78,https://docs.ramp.com/,"Documented OAuth2 REST API; account-gated in the same way as Brex, a consistent pattern across corporate-card fintechs.",buildable_gated,account_verification,OAuth2
PitchBook,Finance and Fintech,"Private-market financial data platform (deals, funds, investors, valuations).",API key (PB-Token header),gated (standalone paid contract with PitchBook's Direct Data team),REST,False,False,False,none found,"buildable, but fully sales-gated","no self-serve signup at all -- API access requires contacting PitchBook's Direct Data team and a standalone contract, priced per data credit",91,https://pitchbook.com/help/PitchBook-api; https://pitchbook.com/products/direct-access-data/api,"Clean REST API technically, but this is the purest 'contact sales' gate in the entire dataset -- there is no free tier, trial signup, or public API key generation flow of any kind.",buildable_gated,partnership_sales,API key / Token
NotebookLM,"AI, Research and Media-native",Google's AI research/notebook assistant; Enterprise version exposes API access via Gemini Enterprise.,OAuth2 (Google Cloud IAM),gated (Gemini Enterprise / Google Cloud contract required for API access),REST,False,False,False,none first-party found for consumer NotebookLM,not buildable for consumer NotebookLM; buildable via Gemini Enterprise contract,the free consumer NotebookLM product has no public API at all; programmatic access only exists through the separate Gemini Enterprise offering,72,https://cloud.google.com/gemini,Important distinction: 'NotebookLM' the consumer product and the API-accessible enterprise notebook capability inside Gemini Enterprise are not the same access path.,not_buildable,no_public_api,OAuth2
Otter AI,"AI, Research and Media-native",AI meeting transcription and notetaking assistant.,none public (public API key not offered); official MCP server uses account login,gated for API (Enterprise-only beta); self-serve for the MCP server,MCP (official); REST (Enterprise beta only),False,False,False,official (Otter MCP Server),buildable via MCP today; REST API is Enterprise-beta only,"Otter's help center states plainly: 'We currently do not have a public API key at this time' -- the REST API is Enterprise-plan beta only, gated by account tier",89,https://help.otter.ai/hc/en-us/articles/35287607569687-Otter-MCP-Server; https://otter.ai/blog/otter-for-enterprise-connect-ai-to-ai-with-otters-mcp,"A great example of MCP-first, API-second rollout: agent access shipped before a general-purpose public REST API did.",buildable_gated,plan_paywall,API key / Token
Fathom,"AI, Research and Media-native","AI meeting notetaker (transcripts, summaries, action items).",API key,"self-serve (all users on all plans, per Fathom's own changelog)",REST,True,False,False,third-party only (community MCP server),buildable today,none,93,https://developers.fathom.ai/quickstart; https://help.fathom.video/en/articles/6220097,"Notably more open than Otter's equivalent product: Fathom rolled its public API out to all users on all plans, not just Enterprise.",buildable_today,none,API key / Token
Consensus,"AI, Research and Media-native",AI-powered search engine over peer-reviewed academic research.,"OAuth (MCP); API key (Enterprise REST API, application-only)",self-serve for MCP (no account even required to try it); gated for the full REST API (apply for a custom quote),MCP (official); REST (application-only),False,False,False,"official (Consensus MCP server, mcp.consensus.app)",buildable via MCP today; REST API needs a sales application,the full REST API is 'available by application only' with custom per-call pricing quotes -- no self-serve key generation,90,https://docs.consensus.app/docs/mcp; https://consensus.app/home/api/,"Split access model: the MCP server is genuinely open (works with no account for casual use), while the underlying REST API is priced and gated per enterprise deal.",buildable_gated,narrow_surface_or_unverified,OAuth2
Reducto,"AI, Research and Media-native","Document-parsing API (PDF/complex-document to structured data, built for RAG pipelines).",API key,self-serve (typical for this product category: signup + usage-based API key),REST,True,False,False,unclear,likely buildable,not independently re-verified live this session,58,https://reducto.ai/,"Reducto's public positioning (developer-first document-parsing API) strongly implies self-serve API-key access consistent with peers like Firecrawl/Apify, but this entry did not get a dedicated docs deep-crawl in this pass -- kept at reduced confidence rather than asserted with false precision.",buildable_gated,narrow_surface_or_unverified,API key / Token
Devin,"AI, Research and Media-native",Autonomous AI software engineer agent from Cognition.,"Bearer token (Service User API key / Personal Access Token, cog_ prefix)","gated (requires an active, paid Devin account)",REST (v3); MCP (official),False,False,False,"official (Devin MCP server, mcp.devin.ai)","buildable, but requires a paid account",no free tier -- both the REST API and the MCP server require an active Devin subscription and an API key from a paid org,90,https://docs.devin.ai/api-reference/authentication; https://mcp.devin.ai/,"Auth model itself is clean and modern (principal + token, RBAC-aware v3 API) -- the blocker is purely commercial (paid account), not technical.",buildable_gated,narrow_surface_or_unverified,API key / Token
higgsfield,"AI, Research and Media-native",AI video/image generation platform ('content suite' per assignment brief).,API key + secret,"self-serve (Higgsfield Cloud signup, pay-as-you-go credits)",REST,True,False,False,third-party only (community MCP servers),buildable today,none,84,https://github.com/higgsfield-ai/higgsfield-client; https://github.com/higgsfield-ai/higgsfield-js,"Official Python and Node SDKs exist on top of a self-serve REST API; credit-based billing, no approval gate found.",buildable_today,none,API key / Token
Mermaid CLI,"AI, Research and Media-native",Open-source command-line tool that renders Mermaid diagram syntax to images/SVG (not a hosted SaaS).,none (local CLI tool),"self-serve (open source, npm install)",none (CLI only; no hosted API),False,False,False,third-party wrappers exist (several community Mermaid MCP servers),"buildable as a local/sandboxed tool, not as a hosted-API toolkit","same pattern as Sherlock -- it's a CLI utility, not a company with a documented web API",88,https://github.com/mermaid-js/mermaid-cli,"Good contrast case for the 'buildability' question: trivially wrappable as an agent tool (shell out to the CLI), but there's no REST endpoint, auth, or account to research.",buildable_gated,narrow_surface_or_unverified,Other
YouTube Transcript,"AI, Research and Media-native",Third-party API (transcriptapi.com) for fetching YouTube video transcripts programmatically.,API key,"self-serve (signup + usage-based API key, typical of this product category)",REST,False,False,False,third-party only,likely buildable,"this is an unofficial third-party wrapper around YouTube's caption data, not a Google/YouTube-sanctioned API -- carries platform-policy/ToS risk that official APIs don't",60,https://transcriptapi.com/,"Important distinction for the toolkit verdict: unlike YouTube Data API (Google-official, quota-gated OAuth2), this is a third-party service scraping/wrapping transcript access -- flagged as a different risk category, not independently deep-crawled this session.",buildable_gated,narrow_surface_or_unverified,API key / Token
Grain,"AI, Research and Media-native","AI meeting recorder/notetaker with sales-intelligence features (deal coaching, HubSpot/Salesforce sync).",OAuth2 (Authorization Code + PKCE); Personal API tokens,self-serve for personal API tokens; gated (Business/Enterprise plan) for full API + video upload,REST; GraphQL; MCP (official),True,True,False,"official (Grain MCP server, works with Claude/ChatGPT)",buildable today,"some API features (e.g. video upload, tags/action items) are gated to Business/Enterprise plans",91,https://developers.grain.com/; https://grain.com/release-notes,"Standout MCP implementation in this category -- ships built-in MCP Prompts for one-click sales reports (Voice of Customer, Pipeline IQ, MEDDICC), not just raw data access.",buildable_today,plan_paywall,OAuth2
